0.86	TSCL	[[1625.2091064453125, 813.3756103515625], [1686.22021484375, 813.3756103515625], [1686.22021484375, 838.3705444335938], [1625.2091064453125, 838.3705444335938]]
0.96	6	[[1863.993896484375, 808.1683349609375], [1880.8245849609375, 808.1683349609375], [1880.8245849609375, 832.121826171875], [1863.993896484375, 832.121826171875]]
0.98	TSDA	[[1623.1053466796875, 843.5778198242188], [1693.5836181640625, 843.5778198242188], [1693.5836181640625, 869.6141357421875], [1623.1053466796875, 869.6141357421875]]
0.98	BS1	[[1642.039794921875, 875.8628540039062], [1693.5836181640625, 875.8628540039062], [1693.5836181640625, 901.8992309570312], [1642.039794921875, 901.8992309570312]]
0.51	CO	[[1863.993896484375, 870.6555786132812], [1880.8245849609375, 870.6555786132812], [1880.8245849609375, 895.6505126953125], [1863.993896484375, 895.6505126953125]]
0.99	CONNECTION	[[62.06300354003906, 888.3603515625], [260.875, 886.2774047851562], [260.875, 914.3966674804688], [62.06300354003906, 916.4796142578125]]
0.99	TSCL	[[512.28271484375, 884.1945190429688], [574.3457641601562, 884.1945190429688], [574.3457641601562, 910.2308349609375], [512.28271484375, 910.2308349609375]]
0.66	一	[[25.245967864990234, 896.6919555664062], [36.81703567504883, 896.6919555664062], [36.81703567504883, 914.3966674804688], [25.245967864990234, 914.3966674804688]]
0.94	BUSY	[[1625.2091064453125, 909.1893920898438], [1694.635498046875, 909.1893920898438], [1694.635498046875, 934.184326171875], [1625.2091064453125, 934.184326171875]]
1.00	9	[[1863.993896484375, 903.9821166992188], [1880.8245849609375, 903.9821166992188], [1880.8245849609375, 927.9356079101562], [1863.993896484375, 927.9356079101562]]
0.99	TSDA	[[509.12701416015625, 915.4381103515625], [577.50146484375, 915.4381103515625], [577.50146484375, 944.598876953125], [509.12701416015625, 944.598876953125]]
0.99	EXTERNALTEMPSENSOR	[[62.06300354003906, 925.8526611328125], [436.5448303222656, 925.8526611328125], [436.5448303222656, 952.9304809570312], [62.06300354003906, 952.9304809570312]]
0.97	RES#	[[1627.31298828125, 939.3916015625], [1694.635498046875, 939.3916015625], [1694.635498046875, 965.4279174804688], [1627.31298828125, 965.4279174804688]]
1.00	10	[[1852.4228515625, 935.2257690429688], [1881.87646484375, 935.2257690429688], [1881.87646484375, 961.2620849609375], [1852.4228515625, 961.2620849609375]]
0.75	DIC#	[[1632.572509765625, 971.6766357421875], [1693.5836181640625, 971.6766357421875], [1693.5836181640625, 997.7130126953125], [1632.572509765625, 997.7130126953125]]
0.99	11	[[1851.370849609375, 966.4693603515625], [1880.8245849609375, 966.4693603515625], [1880.8245849609375, 992.5057373046875], [1851.370849609375, 992.5057373046875]]
0.76	CIS#	[[1643.0916748046875, 1005.003173828125], [1693.5836181640625, 1005.003173828125], [1693.5836181640625, 1027.9151611328125], [1643.0916748046875, 1027.9151611328125]]
1.00	12	[[1851.370849609375, 997.7130126953125], [1881.87646484375, 997.7130126953125], [1881.87646484375, 1024.790771484375], [1851.370849609375, 1024.790771484375]]
1.00	BS1	[[540.6844482421875, 1026.873779296875], [588.0206298828125, 1026.873779296875], [588.0206298828125, 1053.9515380859375], [540.6844482421875, 1053.9515380859375]]
0.87	SCL	[[1642.039794921875, 1036.246826171875], [1686.22021484375, 1036.246826171875], [1686.22021484375, 1060.2001953125], [1642.039794921875, 1060.2001953125]]
1.00	13	[[1852.4228515625, 1029.998046875], [1881.87646484375, 1029.998046875], [1881.87646484375, 1057.075927734375], [1852.4228515625, 1057.075927734375]]
1.00	BUSY	[[523.8538208007812, 1059.1588134765625], [589.0725708007812, 1059.1588134765625], [589.0725708007812, 1085.1951904296875], [523.8538208007812, 1085.1951904296875]]
0.99	SDA	[[1639.9359130859375, 1068.5318603515625], [1691.479736328125, 1068.5318603515625], [1691.479736328125, 1091.44384765625], [1639.9359130859375, 1091.44384765625]]
1.00	14	[[1851.370849609375, 1061.24169921875], [1881.87646484375, 1061.24169921875], [1881.87646484375, 1088.3194580078125], [1851.370849609375, 1088.3194580078125]]
0.69	一	[[25.245967864990234, 1089.3609619140625], [36.81703567504883, 1089.3609619140625], [36.81703567504883, 1107.065673828125], [25.245967864990234, 1107.065673828125]]
1.00	CONNECTION	[[64.16683197021484, 1093.5267333984375], [260.875, 1093.5267333984375], [260.875, 1121.64599609375], [64.16683197021484, 1121.64599609375]]
1.00	RES#	[[524.9057006835938, 1090.4024658203125], [590.1244506835938, 1090.4024658203125], [590.1244506835938, 1119.5631103515625], [524.9057006835938, 1119.5631103515625]]
0.90	VDDIO	[[1612.586181640625, 1101.8583984375], [1691.479736328125, 1101.8583984375], [1691.479736328125, 1123.72900390625], [1612.586181640625, 1123.72900390625]]
1.00	15	[[1851.370849609375, 1093.5267333984375], [1881.87646484375, 1093.5267333984375], [1881.87646484375, 1120.6046142578125], [1851.370849609375, 1120.6046142578125]]
0.77	一	[[25.245967864990234, 1120.6046142578125], [36.81703567504883, 1120.6046142578125], [36.81703567504883, 1139.3507080078125], [25.245967864990234, 1139.3507080078125]]
0.99	MCU	[[59.959171295166016, 1131.0191650390625], [133.59324645996094, 1131.0191650390625], [133.59324645996094, 1164.345703125], [59.959171295166016, 1164.345703125]]
0.97	D/C#	[[533.321044921875, 1123.72900390625], [591.1763916015625, 1123.72900390625], [591.1763916015625, 1149.7652587890625], [533.321044921875, 1149.7652587890625]]
0.80	VCI	[[1647.29931640625, 1129.9776611328125], [1693.5836181640625, 1129.9776611328125], [1693.5836181640625, 1157.055419921875], [1647.29931640625, 1157.055419921875]]
1.00	16	[[1851.370849609375, 1125.8118896484375], [1881.87646484375, 1125.8118896484375], [1881.87646484375, 1152.8896484375], [1851.370849609375, 1152.8896484375]]
0.99	CS#	[[538.5806274414062, 1153.93115234375], [591.1763916015625, 1153.93115234375], [591.1763916015625, 1184.13330078125], [538.5806274414062, 1184.13330078125]]
0.93	VSS	[[1640.98779296875, 1162.2626953125], [1694.635498046875, 1162.2626953125], [1694.635498046875, 1188.299072265625], [1640.98779296875, 1188.299072265625]]
1.00	17	[[1851.370849609375, 1157.055419921875], [1880.8245849609375, 1157.055419921875], [1880.8245849609375, 1184.13330078125], [1851.370849609375, 1184.13330078125]]
0.99	SCL	[[540.6844482421875, 1186.2161865234375], [589.0725708007812, 1186.2161865234375], [589.0725708007812, 1214.33544921875], [540.6844482421875, 1214.33544921875]]
0.97	VDD	[[1638.884033203125, 1196.6307373046875], [1691.479736328125, 1196.6307373046875], [1691.479736328125, 1219.542724609375], [1638.884033203125, 1219.542724609375]]
1.00	18	[[1851.370849609375, 1189.340576171875], [1881.87646484375, 1189.340576171875], [1881.87646484375, 1216.4183349609375], [1851.370849609375, 1216.4183349609375]]
0.99	SDA	[[537.5286865234375, 1218.501220703125], [590.1244506835938, 1218.501220703125], [590.1244506835938, 1245.5791015625], [537.5286865234375, 1245.5791015625]]
0.99	VPP	[[1640.98779296875, 1227.8743896484375], [1693.5836181640625, 1227.8743896484375], [1693.5836181640625, 1250.786376953125], [1640.98779296875, 1250.786376953125]]
1.00	19	[[1851.370849609375, 1221.6256103515625], [1881.87646484375, 1221.6256103515625], [1881.87646484375, 1248.7034912109375], [1851.370849609375, 1248.7034912109375]]
0.97	T1	[[929.8931274414062, 1240.371826171875], [963.5543823242188, 1240.371826171875], [963.5543823242188, 1264.3251953125], [929.8931274414062, 1264.3251953125]]
1.00	2	[[997.2156982421875, 1238.2889404296875], [1014.0463256835938, 1238.2889404296875], [1014.0463256835938, 1260.159423828125], [997.2156982421875, 1260.159423828125]]
0.99	VSH1	[[1626.260986328125, 1259.117919921875], [1692.53173828125, 1259.117919921875], [1692.53173828125, 1285.154296875], [1626.260986328125, 1285.154296875]]
1.00	20	[[1849.26708984375, 1253.9107666015625], [1881.87646484375, 1253.9107666015625], [1881.87646484375, 1279.947021484375], [1849.26708984375, 1279.947021484375]]
0.98	VDDIO	[[1100.3033447265625, 1267.4495849609375], [1176.041259765625, 1267.4495849609375], [1176.041259765625, 1293.4859619140625], [1100.3033447265625, 1293.4859619140625]]
0.99	VGH	[[1632.572509765625, 1290.361572265625], [1691.479736328125, 1290.361572265625], [1691.479736328125, 1316.39794921875], [1632.572509765625, 1316.39794921875]]
1.00	21	[[1849.26708984375, 1285.154296875], [1879.7725830078125, 1285.154296875], [1879.7725830078125, 1311.190673828125], [1849.26708984375, 1311.190673828125]]
0.92	VCI	[[1130.8089599609375, 1298.6932373046875], [1173.9375, 1298.6932373046875], [1173.9375, 1326.8125], [1130.8089599609375, 1326.8125]]
0.85	VSI	[[1642.039794921875, 1322.646728515625], [1686.22021484375, 1322.646728515625], [1686.22021484375, 1346.60009765625], [1642.039794921875, 1346.60009765625]]
1.00	22	[[1849.26708984375, 1316.39794921875], [1881.87646484375, 1316.39794921875], [1881.87646484375, 1343.4757080078125], [1849.26708984375, 1343.4757080078125]]
0.86	VSS	[[342.92437744140625, 1335.1441650390625], [396.5720520019531, 1337.22705078125], [394.4682312011719, 1368.470703125], [341.8724670410156, 1366.3876953125]]
0.81	CO	[[482.8291320800781, 1337.22705078125], [520.6980590820312, 1337.22705078125], [520.6980590820312, 1367.42919921875], [482.8291320800781, 1367.42919921875]]
0.91	VSS	[[1121.3416748046875, 1329.9368896484375], [1173.9375, 1329.9368896484375], [1173.9375, 1360.1390380859375], [1121.3416748046875, 1360.1390380859375]]
0.80	VGL	[[1636.7801513671875, 1353.8902587890625], [1686.22021484375, 1353.8902587890625], [1686.22021484375, 1379.9266357421875], [1636.7801513671875, 1379.9266357421875]]
1.00	23	[[1849.26708984375, 1349.7244873046875], [1881.87646484375, 1349.7244873046875], [1881.87646484375, 1375.7608642578125], [1849.26708984375, 1375.7608642578125]]
0.98	VDD	[[1121.3416748046875, 1361.180419921875], [1176.041259765625, 1361.180419921875], [1176.041259765625, 1391.3826904296875], [1121.3416748046875, 1391.3826904296875]]
0.90	VCOM	[[1618.8975830078125, 1388.25830078125], [1691.479736328125, 1388.25830078125], [1691.479736328125, 1410.1287841796875], [1618.8975830078125, 1410.1287841796875]]
1.00	24	[[1849.26708984375, 1380.9681396484375], [1881.87646484375, 1380.9681396484375], [1881.87646484375, 1407.0045166015625], [1849.26708984375, 1407.0045166015625]]
0.99	C1	[[482.8291320800781, 1400.7557373046875], [516.4904174804688, 1400.7557373046875], [516.4904174804688, 1430.9578857421875], [482.8291320800781, 1430.9578857421875]]
0.98	VPP	[[1122.3935546875, 1394.5069580078125], [1172.885498046875, 1394.5069580078125], [1172.885498046875, 1421.5848388671875], [1122.3935546875, 1421.5848388671875]]
1.00	VSH1	[[1110.822509765625, 1424.709228515625], [1172.885498046875, 1424.709228515625], [1172.885498046875, 1454.911376953125], [1110.822509765625, 1454.911376953125]]
1.00	FPC	[[1955.510498046875, 1443.455322265625], [1998.6390380859375, 1443.455322265625], [1998.6390380859375, 1470.533203125], [1955.510498046875, 1470.533203125]]
0.98	C5	[[482.8291320800781, 1463.242919921875], [518.59423828125, 1463.242919921875], [518.59423828125, 1493.4451904296875], [482.8291320800781, 1493.4451904296875]]
1.00	VGH	[[1120.289794921875, 1458.0357666015625], [1172.885498046875, 1458.0357666015625], [1172.885498046875, 1485.113525390625], [1120.289794921875, 1485.113525390625]]
0.99	VSL	[[1122.3935546875, 1489.279296875], [1171.8336181640625, 1489.279296875], [1171.8336181640625, 1517.3985595703125], [1122.3935546875, 1517.3985595703125]]
0.99	C7	[[481.7771911621094, 1529.89599609375], [518.59423828125, 1529.89599609375], [518.59423828125, 1559.0567626953125], [481.7771911621094, 1559.0567626953125]]
0.99	VGL	[[1122.3935546875, 1520.52294921875], [1172.885498046875, 1522.6058349609375], [1171.8336181640625, 1550.72509765625], [1121.3416748046875, 1548.6422119140625]]
0.97	VCOM	[[1104.5111083984375, 1552.8079833984375], [1177.09326171875, 1552.8079833984375], [1177.09326171875, 1581.96875], [1104.5111083984375, 1581.96875]]
